Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
B,Ship,5,5,243,2.0,low,M,9.0,4669
B,Ship,3,1,226,3.0,high,M,2.0,4831
D,Ship,3,2,250,5.0,low,F,36.0,2717
B,Ship,3,3,178,3.0,high,M,43.0,1517
F,Flight,4,3,167,3.0,medium,F,1.0,4621
D,Road,3,3,218,2.0,medium,M,9.0,2069
D,Ship,3,1,138,5.0,medium,F,8.0,1349
F,Ship,5,3,189,5.0,low,M,7.0,4869
A,Flight,3,4,135,3.0,low,M,11.0,1740
F,Ship,3,2,177,2.0,high,M,9.0,4648
A,Ship,4,4,247,2.0,medium,M,9.0,5095
D,Ship,3,2,245,3.0,medium,F,7.0,4121
C,Ship,5,5,149,5.0,medium,F,43.0,1346
B,Ship,5,4,228,3.0,medium,M,42.0,3145
C,Road,4,3,180,3.0,low,M,7.0,5718
F,Ship,3,1,204,3.0,medium,M,4.0,4619
B,Ship,5,3,190,3.0,high,M,43.0,2628
F,Road,6,1,277,5.0,low,F,2.0,1190
F,Ship,3,4,269,3.0,medium,M,9.0,5133
A,Flight,4,4,252,3.0,medium,F,7.0,2477
B,Ship,4,1,234,3.0,low,M,2.0,4282
F,Ship,5,1,190,2.0,low,M,9.0,5226
A,Road,5,2,272,5.0,low,M,8.0,1317
F,Ship,5,5,226,3.0,low,M,43.0,2348
D,Flight,5,3,151,2.0,low,M,8.0,4749
C,Ship,4,5,192,3.0,medium,F,41.0,3873
C,Ship,3,2,177,3.0,low,F,5.0,5941
D,Flight,3,3,178,3.0,high,M,12.0,1900
C,Ship,7,4,305,4.0,medium,F,6.0,1873
C,Ship,4,1,161,5.0,low,F,2.0,5734
C,Ship,5,1,255,5.0,medium,M,9.0,1156
B,Ship,5,2,218,3.0,low,M,4.0,5363
B,Ship,5,1,205,2.0,medium,M,27.0,3569
B,Ship,5,1,236,5.0,medium,F,3.0,1699
B,Ship,4,3,218,2.0,medium,M,6.0,4414
B,Road,5,5,184,3.0,low,F,2.0,5800
F,Ship,3,3,162,3.0,medium,M,7.0,1901
F,Ship,5,3,264,2.0,low,F,43.0,2025
F,Ship,4,5,156,3.0,low,F,33.0,1836
C,Ship,5,5,264,3.0,medium,F,23.0,2837
C,Ship,6,3,278,4.0,high,F,3.0,1033
F,Road,6,5,247,4.0,medium,M,7.0,1461
A,Ship,3,4,173,3.0,low,F,8.0,5979
B,Ship,4,1,300,5.0,medium,M,6.0,1027
F,Ship,3,1,207,3.0,medium,F,43.0,3482
F,Ship,3,4,145,4.0,high,M,4.0,5801
F,Ship,4,2,192,4.0,medium,F,2.0,5503
B,Ship,5,4,223,5.0,low,F,2.0,1713
C,Flight,3,2,227,3.0,high,M,5.0,4167
B,Flight,4,2,192,3.0,medium,F,3.0,4922
B,Ship,3,1,238,2.0,medium,F,43.0,3438
D,Ship,5,1,241,3.0,high,M,8.0,5306
F,Ship,6,5,255,4.0,low,F,9.0,1197
F,Ship,4,4,162,3.0,medium,M,41.0,1104
A,Ship,4,3,192,4.0,low,F,2.0,1830
F,Ship,3,3,233,3.0,medium,M,35.0,2204
F,Flight,6,1,272,4.0,low,F,2.0,1018
F,Road,4,1,226,5.0,low,M,9.0,1530
D,Flight,4,1,145,3.0,low,M,8.0,5127
F,Ship,6,4,304,4.0,low,F,2.0,1749
D,Flight,4,4,178,5.0,low,F,9.0,5279
D,Ship,3,5,206,2.0,low,F,4.0,4080
F,Ship,2,2,206,5.0,low,F,7.0,5203
C,Ship,3,1,186,2.0,low,F,1.0,5054
A,Ship,2,4,245,2.0,medium,F,10.0,5389
A,Ship,4,2,199,3.0,low,M,7.0,5342
B,Road,3,5,139,2.0,medium,M,7.0,5536
D,Road,5,5,184,2.0,medium,M,9.0,4649
F,Flight,4,4,175,3.0,low,F,6.0,4600
D,Ship,3,4,189,3.0,medium,F,37.0,3492
F,Ship,4,5,190,2.0,low,M,36.0,3548
A,Ship,5,4,206,4.0,low,F,3.0,3755
D,Ship,6,5,298,4.0,low,M,3.0,1009
D,Ship,5,5,191,2.0,high,M,34.0,2708
F,Road,5,4,195,2.0,low,M,4.0,3108
F,Ship,6,3,247,4.0,medium,M,7.0,1626
A,Flight,5,1,271,5.0,low,M,4.0,1353
F,Ship,3,5,165,3.0,medium,M,33.0,1500
C,Ship,3,1,209,2.0,low,F,2.0,4855
B,Flight,3,4,179,2.0,medium,M,5.0,1340
C,Ship,5,1,236,3.0,medium,F,10.0,1347
B,Ship,3,4,234,2.0,medium,M,43.0,3543
F,Road,5,4,263,2.0,medium,F,5.0,4595
F,Ship,4,1,164,4.0,medium,M,3.0,5318
B,Ship,3,3,249,5.0,medium,F,9.0,1752
A,Road,2,2,163,3.0,low,M,5.0,5887
F,Ship,3,5,241,5.0,medium,M,41.0,3015
A,Ship,4,3,248,5.0,medium,M,5.0,4212
D,Ship,5,1,185,3.0,medium,F,7.0,4855
A,Ship,6,2,195,3.0,medium,M,30.0,3462
B,Ship,3,4,210,3.0,low,M,10.0,4398
B,Road,4,2,251,5.0,low,F,3.0,1297
F,Ship,5,4,201,3.0,low,F,5.0,5137
F,Flight,5,2,252,5.0,low,F,10.0,1568
F,Ship,6,1,306,4.0,low,F,4.0,1449
F,Road,5,2,266,5.0,medium,M,8.0,1367
B,Ship,2,4,238,3.0,medium,M,4.0,5782
F,Ship,5,1,212,3.0,low,F,11.0,2073
D,Ship,6,1,303,4.0,low,F,9.0,1080
A,Ship,3,2,214,2.0,low,M,26.0,3503
D,Ship,3,5,190,5.0,medium,M,26.0,3244
F,Ship,4,1,271,2.0,low,F,1.0,4866
C,Flight,5,5,171,3.0,medium,F,6.0,4209
B,Ship,3,3,240,5.0,medium,M,3.0,4385
F,Ship,5,5,223,3.0,medium,F,3.0,4382
D,Road,5,2,236,2.0,low,M,24.0,3679
D,Ship,4,5,135,2.0,low,M,43.0,1026
F,Ship,3,5,275,3.0,low,M,6.0,5148
B,Ship,3,1,131,4.0,low,M,1.0,1628
B,Ship,5,3,230,3.0,medium,F,3.0,2923
F,Road,3,3,259,2.0,high,M,8.0,4481
F,Road,5,2,202,3.0,medium,M,34.0,3885
D,Ship,6,4,241,5.0,high,F,43.0,2806
D,Ship,2,2,240,5.0,low,M,7.0,4138
F,Ship,4,5,145,3.0,medium,M,43.0,1059
A,Ship,4,2,231,5.0,low,F,2.0,1465
D,Ship,3,5,286,5.0,high,M,8.0,4777
D,Ship,4,2,227,5.0,medium,M,6.0,4618
B,Ship,3,1,230,2.0,low,F,1.0,4970
B,Ship,6,4,254,4.0,low,M,9.0,1594
B,Road,5,5,265,3.0,high,F,3.0,5837
C,Road,5,1,105,5.0,low,M,1.0,1101
F,Ship,4,2,210,2.0,medium,F,1.0,5437
D,Ship,3,2,201,3.0,high,M,6.0,5165
A,Ship,3,4,187,2.0,medium,M,4.0,5139
A,Ship,3,3,179,3.0,medium,F,41.0,1892
F,Ship,6,4,257,4.0,low,F,4.0,1451
F,Ship,3,1,192,2.0,low,M,33.0,2818
F,Ship,4,4,206,3.0,medium,F,10.0,4262
B,Ship,3,5,257,3.0,medium,F,19.0,2173
A,Ship,3,3,274,3.0,low,M,6.0,2986
F,Flight,3,5,125,2.0,low,F,2.0,4182
A,Ship,4,2,251,3.0,low,F,10.0,3517
C,Ship,6,5,264,4.0,medium,F,9.0,1922
B,Ship,4,1,216,4.0,low,M,4.0,2263
A,Ship,4,3,178,3.0,medium,M,6.0,4576
A,Ship,3,5,159,2.0,medium,M,6.0,5804
A,Ship,4,4,129,5.0,medium,F,7.0,4873
B,Flight,3,2,153,5.0,high,M,2.0,5455
F,Ship,6,3,256,4.0,low,F,9.0,1212
F,Ship,4,5,199,2.0,low,F,8.0,4463
F,Ship,4,5,222,2.0,medium,M,2.0,4425
F,Road,6,4,292,4.0,low,M,3.0,1826
A,Ship,3,5,271,4.0,low,F,10.0,1679
C,Ship,6,3,141,3.0,low,M,7.0,5222
C,Ship,3,5,181,4.0,high,F,1.0,4971
C,Road,6,2,134,5.0,high,M,42.0,1054
B,Ship,4,1,233,2.0,medium,F,43.0,2671
C,Ship,4,2,210,3.0,low,M,8.0,5672
F,Ship,5,4,256,5.0,low,M,2.0,1723
B,Ship,6,5,280,3.0,low,M,9.0,4074
F,Flight,7,4,270,4.0,medium,F,5.0,1735
D,Ship,4,3,224,3.0,medium,F,9.0,5283
B,Road,4,2,168,3.0,low,M,43.0,1717
F,Ship,3,2,233,5.0,low,M,43.0,2010
F,Ship,5,5,253,2.0,medium,F,2.0,4364
F,Ship,5,5,216,4.0,medium,F,1.0,4092
F,Ship,5,5,248,5.0,medium,F,1.0,1945
B,Flight,4,3,258,3.0,medium,M,43.0,2579
C,Ship,3,4,193,5.0,low,M,2.0,5584
F,Flight,7,3,306,4.0,medium,M,4.0,1739
A,Ship,3,5,249,2.0,low,F,26.0,2029
D,Ship,7,2,279,4.0,medium,M,5.0,1210
B,Ship,5,3,163,5.0,low,M,6.0,4349
A,Road,3,1,201,2.0,medium,F,4.0,4857
A,Road,5,5,239,5.0,low,F,1.0,1984
F,Road,3,3,253,3.0,medium,M,7.0,5085
B,Ship,5,4,239,3.0,low,F,7.0,4960
C,Ship,3,1,142,4.0,low,M,4.0,1583
C,Ship,4,4,238,3.0,low,F,7.0,4709
A,Ship,5,2,246,5.0,low,F,4.0,1072
C,Ship,5,4,235,4.0,low,M,10.0,4880
B,Ship,6,4,309,4.0,low,M,9.0,1771
A,Ship,4,5,157,2.0,medium,M,6.0,5937
F,Ship,3,2,159,2.0,medium,F,3.0,4876
F,Ship,3,5,169,3.0,low,F,6.0,5397
C,Ship,3,4,184,3.0,low,M,7.0,5438
F,Ship,4,2,224,3.0,low,F,9.0,4896
A,Flight,5,2,248,2.0,low,F,10.0,4813
C,Ship,3,2,210,2.0,medium,M,30.0,3928
A,Road,4,5,180,4.0,high,F,10.0,5176
A,Ship,3,5,258,3.0,low,F,5.0,4494
B,Flight,4,5,234,3.0,medium,F,10.0,4204
F,Ship,3,4,145,3.0,medium,M,43.0,1218
C,Ship,3,4,166,3.0,medium,F,8.0,4369
F,Ship,3,1,157,2.0,medium,F,39.0,1525
C,Ship,4,2,260,2.0,low,M,7.0,5684
D,Ship,3,5,115,3.0,medium,M,43.0,1122
B,Flight,4,4,223,5.0,medium,M,4.0,1344
F,Ship,5,5,251,2.0,high,F,3.0,4741
D,Road,4,4,235,4.0,low,M,43.0,2020
F,Flight,6,4,292,4.0,low,F,10.0,1321
D,Ship,4,2,141,2.0,low,F,8.0,1495
F,Ship,5,2,262,5.0,low,M,4.0,1509
F,Ship,2,2,240,3.0,low,M,43.0,2980
C,Flight,6,3,306,4.0,low,F,5.0,1490
D,Ship,5,4,257,2.0,medium,M,10.0,5095
C,Ship,4,4,234,2.0,medium,F,8.0,5744
F,Flight,4,2,270,3.0,medium,F,4.0,5566
D,Road,5,4,189,2.0,low,F,4.0,5575
C,Flight,2,1,156,3.0,medium,M,3.0,5937
D,Ship,5,3,114,5.0,medium,F,43.0,1746
B,Ship,4,4,209,5.0,medium,F,43.0,3345
D,Road,2,2,159,5.0,low,F,6.0,4044
F,Flight,4,2,180,4.0,medium,M,9.0,4329
C,Ship,4,2,242,3.0,medium,M,8.0,4644
F,Road,4,5,225,4.0,low,M,43.0,2767
F,Ship,6,4,304,4.0,low,M,6.0,1342
F,Ship,4,2,210,3.0,low,F,9.0,4102
A,Ship,4,5,252,2.0,low,F,9.0,4157
A,Ship,4,3,258,2.0,low,F,3.0,4555
C,Ship,4,5,165,3.0,high,M,5.0,4735
B,Road,7,1,296,4.0,low,F,10.0,1230
A,Ship,5,1,169,4.0,low,M,6.0,4253
F,Flight,2,1,226,2.0,medium,F,1.0,5576
B,Road,4,3,159,2.0,high,M,3.0,5731
D,Ship,5,1,248,3.0,medium,M,6.0,5081
B,Road,4,4,208,2.0,high,F,20.0,2759
F,Ship,3,2,140,2.0,low,F,16.0,1685
F,Ship,3,2,224,3.0,low,F,7.0,5896
F,Ship,4,2,186,5.0,medium,F,40.0,3111
A,Ship,3,3,224,4.0,medium,M,10.0,4147
F,Ship,4,1,140,3.0,medium,F,1.0,1464
A,Flight,4,2,237,5.0,low,F,8.0,5695
D,Ship,4,1,264,3.0,low,F,39.0,3719
F,Ship,3,1,275,2.0,high,F,1.0,2597
C,Road,3,5,188,3.0,high,F,9.0,3206
A,Ship,6,4,272,4.0,low,F,7.0,1706
F,Flight,4,2,139,4.0,low,F,41.0,1511
F,Road,4,1,182,3.0,medium,M,28.0,2005
B,Ship,3,3,249,4.0,low,M,7.0,5868
B,Flight,3,2,140,3.0,medium,M,8.0,5724
F,Road,4,5,246,2.0,medium,M,31.0,2415
C,Flight,4,5,157,3.0,medium,M,10.0,5898
A,Flight,4,1,150,3.0,low,F,10.0,4470
F,Flight,4,5,173,2.0,medium,F,5.0,4776
B,Ship,6,1,250,5.0,low,F,43.0,3352
A,Road,2,4,273,4.0,low,F,7.0,4743
C,Road,5,5,128,5.0,low,M,34.0,1008
F,Flight,4,2,182,3.0,medium,M,14.0,3413
D,Flight,6,2,268,4.0,low,M,7.0,1943
C,Flight,3,4,150,2.0,low,F,6.0,5987
F,Road,3,3,147,4.0,low,F,43.0,1722
F,Ship,3,3,270,3.0,high,F,7.0,4690
A,Flight,4,2,249,5.0,low,F,9.0,1673
C,Flight,6,1,215,4.0,low,M,1.0,4581
A,Ship,4,1,172,3.0,high,F,24.0,1066
D,Ship,4,4,184,3.0,low,M,4.0,1330
C,Road,4,1,195,3.0,low,M,2.0,4418
F,Ship,3,1,202,2.0,medium,M,43.0,3398
F,Ship,5,2,136,2.0,low,M,3.0,1370
B,Ship,3,5,241,4.0,low,F,3.0,5051
D,Ship,3,1,271,3.0,medium,M,1.0,5486
D,Ship,4,2,233,4.0,high,F,6.0,5256
F,Flight,3,5,218,4.0,medium,M,43.0,3048
F,Ship,3,5,137,3.0,high,F,28.0,1815
C,Ship,4,2,243,3.0,medium,F,13.0,2850
F,Ship,5,3,275,5.0,low,M,7.0,1349
F,Ship,5,1,172,2.0,high,F,7.0,5165
B,Flight,3,3,215,2.0,low,F,2.0,5661
B,Flight,4,2,222,2.0,medium,M,5.0,4268
C,Ship,4,1,258,4.0,low,M,5.0,5664
C,Road,3,4,188,4.0,low,M,2.0,1059
A,Ship,3,5,216,4.0,low,F,3.0,4934
C,Flight,6,4,262,4.0,low,F,10.0,1068
D,Ship,3,5,220,3.0,low,F,9.0,5672
D,Road,4,2,221,3.0,low,F,7.0,4856
B,Road,3,2,216,2.0,low,F,1.0,4350
F,Flight,5,2,128,5.0,medium,F,43.0,1707
C,Ship,2,4,206,2.0,low,F,30.0,3955
F,Ship,5,4,137,2.0,low,F,2.0,4077
F,Flight,3,4,143,3.0,low,M,10.0,5261
F,Ship,4,2,181,3.0,medium,M,4.0,5717
B,Road,3,2,188,3.0,medium,M,8.0,5709
F,Ship,3,5,233,3.0,medium,F,7.0,5787
F,Flight,4,2,257,2.0,high,M,3.0,4108
F,Ship,2,3,277,3.0,medium,F,1.0,1738
F,Ship,4,1,255,5.0,low,F,9.0,1793
F,Flight,5,3,218,5.0,low,F,6.0,1519
F,Ship,4,3,260,3.0,medium,F,4.0,5770
F,Ship,4,5,201,2.0,high,F,2.0,4657
F,Ship,5,1,258,5.0,low,F,4.0,1032
F,Ship,3,4,235,3.0,low,M,43.0,3447
B,Ship,4,1,219,3.0,low,F,5.0,5632
A,Ship,3,5,247,3.0,medium,M,10.0,4286
F,Road,3,1,180,5.0,low,M,5.0,4802
C,Flight,6,1,279,4.0,low,F,4.0,1263
F,Ship,6,1,251,4.0,low,M,2.0,5656
B,Ship,3,1,180,5.0,medium,M,10.0,5536
F,Ship,4,2,229,4.0,low,M,8.0,5385
F,Road,4,4,266,3.0,low,F,6.0,5758
F,Road,5,2,244,5.0,low,M,1.0,1199
B,Road,5,4,201,2.0,low,M,5.0,5593
D,Road,3,2,245,3.0,low,F,43.0,2188
D,Ship,3,1,175,3.0,medium,M,1.0,4872
F,Ship,5,5,124,3.0,low,M,10.0,4331
D,Ship,4,4,209,5.0,low,M,43.0,3532
B,Flight,4,3,204,3.0,medium,M,2.0,5010
F,Ship,3,4,226,3.0,low,F,7.0,4411
A,Ship,5,4,199,5.0,medium,M,6.0,5210
D,Ship,4,4,187,3.0,high,M,6.0,4567
A,Ship,4,1,241,4.0,medium,M,5.0,5080
F,Ship,5,5,139,4.0,medium,F,3.0,4433
A,Ship,3,2,133,3.0,medium,M,1.0,5026
B,Ship,4,4,170,2.0,low,M,34.0,1512
C,Ship,4,1,166,3.0,high,F,3.0,1453
F,Ship,3,4,257,4.0,low,M,9.0,4537
F,Ship,4,2,195,3.0,medium,M,8.0,5198
A,Ship,3,4,165,3.0,high,M,10.0,4910
D,Ship,7,3,270,4.0,medium,F,10.0,1211
B,Flight,6,3,285,5.0,medium,M,7.0,5030
C,Flight,3,2,137,2.0,medium,M,17.0,1673
F,Ship,3,5,119,3.0,medium,M,7.0,1021
A,Ship,4,5,243,3.0,low,F,2.0,4909
B,Ship,3,4,226,3.0,medium,F,26.0,2299
F,Ship,4,4,267,5.0,medium,F,9.0,1716
F,Ship,4,5,261,5.0,low,M,7.0,5208
F,Ship,7,1,308,4.0,medium,F,2.0,1504
F,Ship,4,5,170,3.0,low,F,9.0,1138
F,Road,3,2,140,3.0,low,F,42.0,1465
A,Ship,5,2,258,2.0,medium,F,4.0,5965
D,Ship,2,2,182,3.0,high,M,6.0,4112
F,Flight,4,5,157,4.0,medium,F,12.0,1038
A,Ship,5,4,199,4.0,medium,M,2.0,4902
C,Flight,4,5,171,2.0,medium,F,1.0,4439
B,Ship,4,3,229,5.0,medium,M,1.0,1235
F,Ship,4,2,182,3.0,medium,M,7.0,4710
F,Flight,2,5,134,5.0,high,M,8.0,5472
D,Ship,4,3,137,3.0,medium,M,5.0,4854
F,Ship,4,2,236,3.0,low,M,4.0,4800
F,Flight,5,5,238,5.0,low,M,2.0,1657
A,Ship,5,4,216,3.0,medium,F,2.0,5404
D,Ship,5,1,135,3.0,low,F,10.0,5301
C,Flight,3,4,202,4.0,high,M,20.0,3655
B,Ship,4,4,153,3.0,low,M,13.0,1402
B,Road,3,5,195,2.0,low,F,4.0,4864
F,Road,4,2,162,5.0,low,F,4.0,4094
B,Road,7,5,291,4.0,high,M,6.0,1135
B,Ship,4,2,195,5.0,medium,M,9.0,5178
B,Ship,5,1,129,5.0,medium,M,35.0,1458
B,Ship,3,3,150,2.0,medium,M,6.0,4170
C,Ship,6,4,304,4.0,low,M,7.0,1226
F,Ship,4,4,165,5.0,low,M,21.0,1727
A,Ship,6,4,290,4.0,medium,M,10.0,1366
B,Ship,4,4,275,3.0,low,M,10.0,5674
A,Ship,4,1,143,2.0,medium,F,5.0,4057
A,Ship,3,3,161,2.0,medium,F,38.0,1521
B,Road,3,4,206,3.0,medium,F,5.0,5915
F,Road,6,2,278,4.0,high,F,8.0,1967
F,Ship,5,5,214,3.0,low,F,31.0,2033
C,Ship,3,2,201,3.0,medium,M,7.0,4890
A,Ship,3,4,137,3.0,medium,F,17.0,1212
F,Ship,2,3,157,4.0,low,M,3.0,1203
F,Ship,4,4,186,5.0,medium,M,9.0,5418
B,Ship,5,3,184,4.0,medium,F,2.0,3798
C,Ship,4,1,162,5.0,low,M,1.0,5525
B,Ship,2,4,255,5.0,low,M,10.0,5875
F,Road,3,2,217,2.0,high,M,19.0,2992
F,Ship,4,3,140,3.0,low,M,1.0,4453
F,Road,4,5,159,2.0,low,F,3.0,5704
A,Road,5,2,196,3.0,medium,M,43.0,2085
F,Road,2,5,160,3.0,low,F,19.0,1399
A,Ship,4,2,264,3.0,low,M,10.0,5137
B,Ship,5,3,257,5.0,low,F,8.0,1409
F,Flight,4,3,182,3.0,high,F,3.0,5624
F,Ship,4,3,255,2.0,high,M,43.0,2956
D,Ship,3,4,191,2.0,medium,M,8.0,5667
B,Ship,6,3,265,5.0,medium,M,10.0,1897
A,Ship,6,2,265,3.0,low,M,3.0,1904
C,Ship,4,5,133,3.0,low,F,43.0,1467
F,Ship,6,3,166,3.0,low,F,2.0,5559
D,Road,4,5,181,3.0,medium,M,1.0,5310
F,Ship,4,5,268,2.0,low,M,2.0,4721
C,Ship,3,1,268,4.0,low,M,10.0,5226
D,Ship,3,5,156,4.0,low,M,5.0,4661
A,Flight,3,5,260,3.0,medium,M,7.0,5379
D,Ship,4,5,149,2.0,low,M,2.0,5724
C,Flight,5,2,265,4.0,low,F,7.0,4883
F,Ship,5,2,235,2.0,low,F,10.0,4938
F,Ship,5,1,216,5.0,medium,F,2.0,5672
A,Ship,5,5,271,4.0,high,M,10.0,4305
A,Ship,4,3,201,2.0,medium,F,18.0,3461
B,Flight,4,5,157,3.0,medium,M,28.0,1557
D,Ship,7,1,278,4.0,low,M,10.0,1508
F,Ship,3,4,236,3.0,medium,F,5.0,5466
A,Flight,5,3,241,5.0,low,F,2.0,1834
D,Flight,4,4,148,3.0,low,M,4.0,5716
C,Ship,5,5,213,2.0,high,M,12.0,2522
C,Ship,5,4,208,2.0,low,M,9.0,4569
A,Ship,3,2,173,3.0,high,M,40.0,1723
F,Ship,4,4,177,2.0,low,F,6.0,5116
A,Ship,6,4,279,4.0,low,F,1.0,1621
F,Ship,5,1,186,5.0,low,M,43.0,2529
F,Ship,4,2,198,2.0,low,M,43.0,3368
F,Road,4,5,266,3.0,medium,M,8.0,4889
A,Ship,5,1,201,3.0,medium,F,43.0,2488
C,Ship,2,3,257,2.0,low,F,1.0,5331
F,Ship,5,2,172,3.0,medium,M,43.0,1667
D,Ship,3,2,198,2.0,medium,M,8.0,5889
F,Flight,4,5,134,3.0,medium,M,3.0,5000
F,Ship,3,2,167,4.0,medium,M,43.0,1973
B,Flight,5,4,227,2.0,low,F,9.0,5706
D,Ship,4,4,273,2.0,low,M,1.0,5759
A,Ship,4,1,224,4.0,medium,F,5.0,4887
D,Ship,4,1,258,3.0,low,F,10.0,4906
F,Flight,4,3,148,5.0,medium,M,2.0,4065
F,Road,4,2,200,4.0,low,M,43.0,2747
A,Road,5,2,221,5.0,medium,M,2.0,1781
C,Ship,3,2,268,4.0,low,M,6.0,4415
F,Ship,4,4,190,3.0,low,M,2.0,4800
B,Ship,4,3,179,3.0,medium,M,40.0,1584
A,Ship,4,1,225,3.0,medium,M,9.0,4242
F,Ship,5,3,208,3.0,medium,M,35.0,3884
C,Ship,2,2,139,3.0,medium,F,23.0,1283
B,Ship,4,2,250,5.0,medium,M,10.0,1026
B,Ship,3,2,238,4.0,low,F,7.0,5254
C,Flight,2,3,160,2.0,high,M,3.0,4409
F,Road,5,5,284,5.0,low,M,9.0,3912
F,Ship,5,3,237,4.0,low,F,8.0,5432
C,Ship,4,2,240,3.0,medium,M,9.0,5170
C,Ship,4,4,207,2.0,medium,F,14.0,2945
F,Ship,3,2,257,2.0,high,F,43.0,2848
C,Ship,5,5,250,2.0,medium,M,10.0,5475
D,Ship,5,2,146,5.0,low,M,7.0,5204
B,Road,4,5,265,3.0,medium,F,41.0,3101
B,Ship,4,2,259,4.0,low,F,13.0,2495
D,Ship,6,1,286,5.0,medium,F,7.0,2338
C,Ship,3,1,256,4.0,medium,F,3.0,4398
B,Road,6,4,298,4.0,medium,F,8.0,1437
F,Road,3,3,244,3.0,low,M,6.0,5109
B,Ship,6,3,310,5.0,low,M,6.0,1139
F,Road,2,2,150,3.0,low,F,6.0,5854
C,Ship,3,1,134,3.0,medium,M,10.0,4200
B,Ship,4,1,273,3.0,low,F,5.0,5323
B,Ship,2,1,208,2.0,low,M,10.0,4671
B,Flight,4,3,117,3.0,medium,F,4.0,4666
C,Ship,4,3,142,2.0,medium,F,43.0,1615
C,Ship,5,3,262,5.0,low,F,8.0,1493
A,Flight,3,5,255,5.0,medium,M,8.0,4091
F,Ship,5,2,168,3.0,low,F,43.0,1486
B,Flight,4,5,195,3.0,medium,M,7.0,4835
F,Ship,5,4,157,5.0,medium,M,3.0,4723
B,Ship,3,5,206,3.0,medium,M,39.0,2929
F,Ship,7,5,282,5.0,low,M,7.0,1260
C,Road,5,1,253,5.0,medium,M,12.0,2486
F,Ship,4,5,168,2.0,high,M,2.0,5776
D,Ship,3,3,259,3.0,medium,F,4.0,4259
C,Ship,5,3,252,4.0,medium,M,43.0,3729
B,Ship,3,5,152,5.0,low,F,32.0,1158
A,Ship,4,2,249,2.0,medium,F,7.0,5876
B,Road,3,5,159,2.0,high,F,9.0,4099
D,Ship,4,3,149,3.0,medium,F,5.0,4031
B,Ship,5,5,186,4.0,medium,F,9.0,5592
F,Ship,3,2,207,2.0,low,M,9.0,4671
B,Flight,4,3,262,2.0,medium,F,3.0,4064
A,Ship,3,5,257,3.0,low,M,5.0,5657
A,Ship,4,4,254,3.0,low,M,7.0,5637
B,Road,4,4,204,3.0,medium,M,8.0,5614
B,Road,5,3,197,5.0,low,F,1.0,5581
A,Ship,4,2,271,3.0,medium,F,4.0,5902
F,Ship,5,5,266,2.0,medium,M,7.0,5712
C,Ship,4,1,198,3.0,medium,F,1.0,4090
B,Flight,6,1,293,5.0,medium,F,7.0,1052
D,Flight,4,3,248,3.0,medium,F,5.0,4667
F,Ship,3,4,257,5.0,medium,F,5.0,5365
F,Ship,3,2,142,2.0,low,M,7.0,4082
F,Ship,6,4,247,4.0,medium,M,3.0,1946
C,Ship,5,2,248,5.0,medium,F,1.0,1845
