Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
F,Road,5,2,266,5,medium,M,8,1367
B,Ship,2,4,238,3,medium,M,4,5782
F,Ship,5,1,212,3,low,F,11,2073
D,Ship,6,1,303,4,low,F,9,1080
F,Ship,4,1,271,2,low,F,1,4866
C,Flight,5,5,171,3,medium,F,6,4209
F,Ship,5,5,223,3,medium,F,3,4382
F,Ship,3,5,275,3,low,M,6,5148
B,Ship,3,1,131,4,low,M,1,1628
B,Ship,5,3,230,3,medium,F,3,2923
F,Road,3,3,259,2,high,M,8,4481
D,Ship,2,2,240,5,low,M,7,4138
A,Ship,4,2,231,5,low,F,2,1465
D,Ship,4,2,227,5,medium,M,6,4618
B,Ship,3,1,230,2,low,F,1,4970
B,Ship,6,4,254,4,low,M,9,1594
B,Road,5,5,265,3,high,F,3,5837
C,Road,5,1,105,5,low,M,1,1101
F,Ship,4,2,210,2,medium,F,1,5437
D,Ship,3,2,201,3,high,M,6,5165
A,Ship,3,4,187,2,medium,M,4,5139
F,Ship,6,4,257,4,low,F,4,1451
F,Ship,4,4,206,3,medium,F,10,4262
B,Ship,3,5,257,3,medium,F,19,2173
A,Ship,3,3,274,3,low,M,6,2986
F,Flight,3,5,125,2,low,F,2,4182
A,Ship,4,2,251,3,low,F,10,3517
C,Ship,6,5,264,4,medium,F,9,1922
B,Ship,4,1,216,4,low,M,4,2263
A,Ship,4,3,178,3,medium,M,6,4576
A,Ship,3,5,159,2,medium,M,6,5804
F,Ship,6,3,256,4,low,F,9,1212
F,Ship,4,5,199,2,low,F,8,4463
F,Ship,4,5,222,2,medium,M,2,4425
F,Road,6,4,292,4,low,M,3,1826
A,Ship,3,5,271,4,low,F,10,1679
C,Ship,6,3,141,3,low,M,7,5222
C,Ship,3,5,181,4,high,F,1,4971
C,Ship,4,2,210,3,low,M,8,5672
F,Ship,5,4,256,5,low,M,2,1723
B,Ship,6,5,280,3,low,M,9,4074
F,Flight,7,4,270,4,medium,F,5,1735
D,Ship,4,3,224,3,medium,F,9,5283
F,Ship,5,5,253,2,medium,F,2,4364
F,Ship,5,5,216,4,medium,F,1,4092
F,Ship,5,5,248,5,medium,F,1,1945
F,Flight,7,3,306,4,medium,M,4,1739
D,Ship,7,2,279,4,medium,M,5,1210
A,Road,3,1,201,2,medium,F,4,4857
F,Road,3,3,253,3,medium,M,7,5085
B,Ship,5,4,239,3,low,F,7,4960
C,Ship,3,1,142,4,low,M,4,1583
C,Ship,4,4,238,3,low,F,7,4709
A,Ship,5,2,246,5,low,F,4,1072
C,Ship,5,4,235,4,low,M,10,4880
B,Ship,6,4,309,4,low,M,9,1771
A,Ship,4,5,157,2,medium,M,6,5937
F,Ship,3,2,159,2,medium,F,3,4876
F,Ship,3,5,169,3,low,F,6,5397
C,Ship,3,4,184,3,low,M,7,5438
F,Ship,4,2,224,3,low,F,9,4896
A,Flight,5,2,248,2,low,F,10,4813
A,Road,4,5,180,4,high,F,10,5176
A,Ship,3,5,258,3,low,F,5,4494
B,Flight,4,5,234,3,medium,F,10,4204
C,Ship,3,4,166,3,medium,F,8,4369
C,Ship,4,2,260,2,low,M,7,5684
B,Flight,4,4,223,5,medium,M,4,1344
F,Ship,5,5,251,2,high,F,3,4741
F,Flight,6,4,292,4,low,F,10,1321
D,Ship,4,2,141,2,low,F,8,1495
F,Ship,5,2,262,5,low,M,4,1509
C,Flight,6,3,306,4,low,F,5,1490
D,Ship,5,4,257,2,medium,M,10,5095
C,Ship,4,4,234,2,medium,F,8,5744
F,Flight,4,2,270,3,medium,F,4,5566
D,Road,5,4,189,2,low,F,4,5575
C,Flight,2,1,156,3,medium,M,3,5937
F,Flight,4,2,180,4,medium,M,9,4329
C,Ship,4,2,242,3,medium,M,8,4644
F,Ship,6,4,304,4,low,M,6,1342
F,Ship,4,2,210,3,low,F,9,4102
A,Ship,4,5,252,2,low,F,9,4157
A,Ship,4,3,258,2,low,F,3,4555
C,Ship,4,5,165,3,high,M,5,4735
B,Road,7,1,296,4,low,F,10,1230
A,Ship,5,1,169,4,low,M,6,4253
F,Flight,2,1,226,2,medium,F,1,5576
B,Road,4,3,159,2,high,M,3,5731
D,Ship,5,1,248,3,medium,M,6,5081
F,Ship,3,2,140,2,low,F,16,1685
F,Ship,3,2,224,3,low,F,7,5896
A,Ship,3,3,224,4,medium,M,10,4147
F,Ship,4,1,140,3,medium,F,1,1464
F,Ship,3,1,275,2,high,F,1,2597
C,Road,3,5,188,3,high,F,9,3206
A,Ship,6,4,272,4,low,F,7,1706
B,Ship,3,3,249,4,low,M,7,5868
B,Flight,3,2,140,3,medium,M,8,5724
C,Flight,4,5,157,3,medium,M,10,5898
A,Flight,4,1,150,3,low,F,10,4470
F,Flight,4,5,173,2,medium,F,5,4776
A,Road,2,4,273,4,low,F,7,4743
F,Flight,4,2,182,3,medium,M,14,3413
D,Flight,6,2,268,4,low,M,7,1943
C,Flight,3,4,150,2,low,F,6,5987
F,Ship,3,3,270,3,high,F,7,4690
C,Flight,6,1,215,4,low,M,1,4581
D,Ship,4,4,184,3,low,M,4,1330
C,Road,4,1,195,3,low,M,2,4418
F,Ship,5,2,136,2,low,M,3,1370
B,Ship,3,5,241,4,low,F,3,5051
D,Ship,3,1,271,3,medium,M,1,5486
D,Ship,4,2,233,4,high,F,6,5256
C,Ship,4,2,243,3,medium,F,13,2850
F,Ship,5,3,275,5,low,M,7,1349
F,Ship,5,1,172,2,high,F,7,5165
B,Flight,3,3,215,2,low,F,2,5661
B,Flight,4,2,222,2,medium,M,5,4268
C,Ship,4,1,258,4,low,M,5,5664
C,Road,3,4,188,4,low,M,2,1059
A,Ship,3,5,216,4,low,F,3,4934
C,Flight,6,4,262,4,low,F,10,1068
D,Ship,3,5,220,3,low,F,9,5672
D,Road,4,2,221,3,low,F,7,4856
B,Road,3,2,216,2,low,F,1,4350
F,Ship,5,4,137,2,low,F,2,4077
F,Flight,3,4,143,3,low,M,10,5261
F,Ship,4,2,181,3,medium,M,4,5717
B,Road,3,2,188,3,medium,M,8,5709
F,Ship,3,5,233,3,medium,F,7,5787
F,Flight,4,2,257,2,high,M,3,4108
F,Ship,2,3,277,3,medium,F,1,1738
F,Ship,4,1,255,5,low,F,9,1793
F,Ship,4,3,260,3,medium,F,4,5770
F,Ship,4,5,201,2,high,F,2,4657
F,Ship,5,1,258,5,low,F,4,1032
B,Ship,4,1,219,3,low,F,5,5632
A,Ship,3,5,247,3,medium,M,10,4286
C,Flight,6,1,279,4,low,F,4,1263
F,Ship,6,1,251,4,low,M,2,5656
F,Ship,4,2,229,4,low,M,8,5385
F,Road,4,4,266,3,low,F,6,5758
B,Road,5,4,201,2,low,M,5,5593
D,Ship,3,1,175,3,medium,M,1,4872
F,Ship,5,5,124,3,low,M,10,4331
B,Flight,4,3,204,3,medium,M,2,5010
F,Ship,3,4,226,3,low,F,7,4411
A,Ship,5,4,199,5,medium,M,6,5210
D,Ship,4,4,187,3,high,M,6,4567
A,Ship,4,1,241,4,medium,M,5,5080
F,Ship,5,5,139,4,medium,F,3,4433
A,Ship,3,2,133,3,medium,M,1,5026
C,Ship,4,1,166,3,high,F,3,1453
F,Ship,3,4,257,4,low,M,9,4537
F,Ship,4,2,195,3,medium,M,8,5198
A,Ship,3,4,165,3,high,M,10,4910
D,Ship,7,3,270,4,medium,F,10,1211
C,Flight,3,2,137,2,medium,M,17,1673
F,Ship,3,5,119,3,medium,M,7,1021
A,Ship,4,5,243,3,low,F,2,4909
F,Ship,4,4,267,5,medium,F,9,1716
F,Ship,7,1,308,4,medium,F,2,1504
F,Ship,4,5,170,3,low,F,9,1138
A,Ship,5,2,258,2,medium,F,4,5965
D,Ship,2,2,182,3,high,M,6,4112
F,Flight,4,5,157,4,medium,F,12,1038
A,Ship,5,4,199,4,medium,M,2,4902
C,Flight,4,5,171,2,medium,F,1,4439
F,Ship,4,2,182,3,medium,M,7,4710
D,Ship,4,3,137,3,medium,M,5,4854
F,Ship,4,2,236,3,low,M,4,4800
F,Flight,5,5,238,5,low,M,2,1657
A,Ship,5,4,216,3,medium,F,2,5404
D,Ship,5,1,135,3,low,F,10,5301
B,Ship,4,4,153,3,low,M,13,1402
B,Road,3,5,195,2,low,F,4,4864
B,Road,7,5,291,4,high,M,6,1135
B,Ship,4,2,195,5,medium,M,9,5178
B,Ship,3,3,150,2,medium,M,6,4170
C,Ship,6,4,304,4,low,M,7,1226
A,Ship,6,4,290,4,medium,M,10,1366
B,Ship,4,4,275,3,low,M,10,5674
A,Ship,4,1,143,2,medium,F,5,4057
B,Road,3,4,206,3,medium,F,5,5915
F,Road,6,2,278,4,high,F,8,1967
C,Ship,3,2,201,3,medium,M,7,4890
A,Ship,3,4,137,3,medium,F,17,1212
F,Ship,2,3,157,4,low,M,3,1203
B,Ship,5,3,184,4,medium,F,2,3798
F,Road,3,2,217,2,high,M,19,2992
F,Ship,4,3,140,3,low,M,1,4453
F,Road,4,5,159,2,low,F,3,5704
F,Road,2,5,160,3,low,F,19,1399
A,Ship,4,2,264,3,low,M,10,5137
B,Ship,5,3,257,5,low,F,8,1409
F,Flight,4,3,182,3,high,F,3,5624
D,Ship,3,4,191,2,medium,M,8,5667
B,Ship,6,3,265,5,medium,M,10,1897
A,Ship,6,2,265,3,low,M,3,1904
F,Ship,6,3,166,3,low,F,2,5559
D,Road,4,5,181,3,medium,M,1,5310
F,Ship,4,5,268,2,low,M,2,4721
C,Ship,3,1,268,4,low,M,10,5226
D,Ship,3,5,156,4,low,M,5,4661
A,Flight,3,5,260,3,medium,M,7,5379
D,Ship,4,5,149,2,low,M,2,5724
C,Flight,5,2,265,4,low,F,7,4883
F,Ship,5,2,235,2,low,F,10,4938
A,Ship,5,5,271,4,high,M,10,4305
A,Ship,4,3,201,2,medium,F,18,3461
D,Ship,7,1,278,4,low,M,10,1508
F,Ship,3,4,236,3,medium,F,5,5466
A,Flight,5,3,241,5,low,F,2,1834
D,Flight,4,4,148,3,low,M,4,5716
C,Ship,5,5,213,2,high,M,12,2522
C,Ship,5,4,208,2,low,M,9,4569
F,Ship,4,4,177,2,low,F,6,5116
A,Ship,6,4,279,4,low,F,1,1621
F,Road,4,5,266,3,medium,M,8,4889
C,Ship,2,3,257,2,low,F,1,5331
D,Ship,3,2,198,2,medium,M,8,5889
F,Flight,4,5,134,3,medium,M,3,5000
B,Flight,5,4,227,2,low,F,9,5706
D,Ship,4,4,273,2,low,M,1,5759
A,Ship,4,1,224,4,medium,F,5,4887
D,Ship,4,1,258,3,low,F,10,4906
F,Flight,4,3,148,5,medium,M,2,4065
C,Ship,3,2,268,4,low,M,6,4415
F,Ship,4,4,190,3,low,M,2,4800
A,Ship,4,1,225,3,medium,M,9,4242
B,Ship,4,2,250,5,medium,M,10,1026
B,Ship,3,2,238,4,low,F,7,5254
C,Flight,2,3,160,2,high,M,3,4409
F,Ship,5,3,237,4,low,F,8,5432
C,Ship,4,2,240,3,medium,M,9,5170
C,Ship,4,4,207,2,medium,F,14,2945
C,Ship,5,5,250,2,medium,M,10,5475
B,Ship,4,2,259,4,low,F,13,2495
C,Ship,3,1,256,4,medium,F,3,4398
B,Road,6,4,298,4,medium,F,8,1437
F,Road,3,3,244,3,low,M,6,5109
B,Ship,6,3,310,5,low,M,6,1139
F,Road,2,2,150,3,low,F,6,5854
C,Ship,3,1,134,3,medium,M,10,4200
B,Ship,4,1,273,3,low,F,5,5323
B,Ship,2,1,208,2,low,M,10,4671
B,Flight,4,3,117,3,medium,F,4,4666
C,Ship,5,3,262,5,low,F,8,1493
B,Flight,4,5,195,3,medium,M,7,4835
F,Ship,7,5,282,5,low,M,7,1260
F,Ship,4,5,168,2,high,M,2,5776
D,Ship,3,3,259,3,medium,F,4,4259
A,Ship,4,2,249,2,medium,F,7,5876
B,Road,3,5,159,2,high,F,9,4099
D,Ship,4,3,149,3,medium,F,5,4031
B,Ship,5,5,186,4,medium,F,9,5592
F,Ship,3,2,207,2,low,M,9,4671
B,Flight,4,3,262,2,medium,F,3,4064
A,Ship,3,5,257,3,low,M,5,5657
A,Ship,4,4,254,3,low,M,7,5637
B,Road,4,4,204,3,medium,M,8,5614
B,Road,5,3,197,5,low,F,1,5581
A,Ship,4,2,271,3,medium,F,4,5902
F,Ship,5,5,266,2,medium,M,7,5712
C,Ship,4,1,198,3,medium,F,1,4090
B,Flight,6,1,293,5,medium,F,7,1052
D,Flight,4,3,248,3,medium,F,5,4667
F,Ship,3,4,257,5,medium,F,5,5365
F,Ship,3,2,142,2,low,M,7,4082
F,Ship,6,4,247,4,medium,M,3,1946
C,Ship,5,2,248,5,medium,F,1,1845
C,Ship,4,1,221,3,low,F,3,2546
B,Flight,3,1,191,3,low,M,1,4705
F,Road,5,5,132,3,low,M,5,4195
C,Ship,4,4,145,3,high,M,2,5665
A,Ship,5,3,263,2,low,M,3,4474
F,Ship,3,1,207,4,low,M,9,4252
B,Ship,4,4,134,2,low,M,1,5209
F,Flight,3,1,135,3,low,M,9,4511
F,Flight,4,2,270,5,low,F,5,1747
A,Ship,5,3,150,2,low,M,2,1682
F,Ship,3,4,160,4,medium,M,9,4733
B,Road,4,5,148,3,low,M,5,4913
F,Ship,4,1,150,3,high,F,17,1923
B,Flight,6,1,134,3,medium,M,10,1278
F,Ship,7,4,287,4,low,M,9,1667
B,Ship,4,1,253,4,low,F,1,5621
D,Road,4,1,258,3,medium,M,2,4188
B,Flight,3,3,191,3,low,M,4,4586
F,Ship,3,4,141,3,medium,M,2,5512
A,Road,2,1,258,5,low,F,9,1548
C,Ship,3,3,242,2,low,F,7,4501
F,Ship,7,4,283,5,low,M,6,1882
F,Road,4,5,216,3,medium,F,7,5891
F,Road,5,2,222,5,low,F,1,1672
C,Ship,4,5,245,3,medium,F,2,5439
B,Ship,2,5,140,4,high,F,2,4636
F,Ship,7,2,282,5,low,M,6,1744
B,Ship,6,5,253,4,medium,M,8,1899
D,Flight,4,1,211,3,medium,F,2,5851
F,Ship,4,3,166,4,medium,F,1,4536
B,Ship,4,3,153,3,medium,M,2,1095
C,Ship,5,5,223,5,medium,M,8,1132
C,Ship,4,3,143,3,medium,F,3,5062
C,Ship,4,3,234,3,medium,F,9,4868
D,Ship,6,1,268,4,low,F,1,1654
D,Ship,3,1,178,3,low,F,11,1481
F,Ship,3,3,153,5,low,F,12,1972
C,Ship,4,5,258,3,low,F,3,5422
D,Ship,4,3,192,4,low,F,3,1406
D,Ship,4,1,212,3,low,M,3,4896
C,Road,4,3,268,5,medium,M,7,1932
F,Flight,4,1,164,2,medium,F,3,1124
A,Ship,3,5,143,3,low,F,10,5021
D,Ship,2,5,211,4,low,M,1,5673
F,Ship,4,1,243,3,high,F,5,5989
D,Ship,4,2,274,3,medium,F,7,4477
A,Ship,4,3,276,4,low,F,3,3889
C,Ship,5,1,245,3,medium,M,9,5690
F,Ship,3,1,174,3,low,F,9,4380
F,Ship,3,1,250,2,medium,F,9,4753
C,Ship,4,1,253,5,low,F,2,1362
F,Flight,7,5,308,5,medium,M,6,1154
F,Flight,4,4,225,5,low,F,1,1476
F,Ship,4,5,239,3,medium,M,1,5482
F,Flight,7,3,244,5,medium,F,10,1913
B,Ship,4,3,218,2,low,F,7,4423
B,Ship,5,1,262,5,medium,M,4,1196
F,Flight,4,1,247,3,low,F,9,2414
A,Flight,4,2,257,3,medium,M,8,5772
F,Ship,6,2,247,4,low,F,3,1752
F,Flight,5,1,237,2,low,F,10,3860
D,Ship,5,5,260,5,low,F,6,1860
F,Flight,5,4,143,2,low,F,8,5291
D,Flight,2,1,218,2,low,M,15,2745
F,Road,5,4,228,4,low,F,8,4831
F,Ship,2,5,189,3,low,F,5,5320
A,Ship,5,4,265,2,low,F,2,5164
F,Road,3,4,226,2,high,F,8,5793
F,Road,5,5,272,2,low,F,4,5342
B,Flight,4,3,225,5,low,M,1,1755
A,Ship,3,4,240,2,medium,F,2,5661
F,Road,2,5,160,4,low,F,7,5754
F,Flight,5,1,266,5,low,F,9,1852
F,Ship,4,5,256,3,medium,M,10,4504
A,Ship,3,1,150,2,low,M,9,1158
A,Ship,4,4,184,3,medium,F,9,4500
B,Road,6,5,141,3,medium,M,8,5031
D,Ship,3,3,154,2,medium,F,1,5746
F,Ship,4,4,189,2,medium,F,18,2955
F,Ship,3,2,149,5,medium,F,9,4310
D,Ship,5,4,243,5,medium,F,4,1813
C,Flight,6,2,284,4,low,F,7,1181
D,Flight,3,3,199,3,medium,F,1,4006
A,Ship,4,5,202,3,medium,M,8,5416
B,Ship,5,3,245,4,low,M,1,5743
F,Flight,3,1,197,5,medium,F,6,5919
D,Flight,5,4,233,4,medium,M,1,4255
F,Ship,3,4,237,3,low,M,1,5980
D,Ship,3,1,169,2,medium,F,19,1183
B,Ship,4,4,193,3,medium,M,8,4715
F,Ship,2,1,108,3,low,M,4,5924
D,Ship,6,3,98,3,low,F,8,4651
F,Ship,3,3,182,3,low,F,5,5914
F,Ship,4,3,212,2,low,M,8,5513
B,Road,3,4,257,3,low,F,4,4883
F,Ship,3,1,268,3,low,M,2,4746
D,Road,4,2,237,3,low,M,1,5114
C,Road,3,3,190,3,medium,M,2,4468
D,Flight,3,1,265,3,medium,F,10,4244
B,Ship,6,4,291,4,low,F,5,1327
B,Ship,2,3,243,5,medium,M,5,4750
A,Flight,4,2,203,4,medium,F,9,4217
B,Flight,4,1,171,2,low,M,3,4271
F,Road,5,5,190,4,medium,M,12,2947
A,Flight,3,5,161,3,low,F,4,5629
B,Ship,5,2,249,5,low,F,8,1018
F,Ship,3,3,137,3,low,F,8,4742
F,Ship,4,5,161,3,medium,F,2,5378
C,Flight,3,3,149,3,medium,F,3,4189
C,Ship,4,2,181,3,medium,M,6,5964
D,Ship,3,4,254,2,medium,M,2,5957
B,Road,4,5,213,3,medium,F,7,4114
F,Ship,4,2,208,3,low,M,8,4342
B,Road,5,1,248,2,low,F,9,5881
D,Flight,6,3,226,3,high,F,4,4604
F,Ship,2,1,258,5,low,M,10,1221
A,Ship,4,1,224,2,low,F,6,4454
F,Ship,4,5,155,3,medium,M,8,4924
C,Ship,5,2,182,4,medium,F,9,5159
C,Ship,4,1,252,3,medium,M,4,5540
D,Flight,5,2,219,5,low,F,9,1505
C,Road,3,1,254,4,medium,M,9,4571
B,Flight,4,4,248,5,medium,M,2,1651
F,Ship,6,3,244,3,medium,M,4,5277
D,Ship,4,4,228,5,low,M,6,1853
D,Ship,5,1,238,5,low,F,5,5854
F,Ship,3,5,251,4,medium,F,3,5215
D,Ship,5,3,257,5,medium,M,5,4183
D,Ship,3,4,227,4,low,F,9,5465
F,Ship,4,4,264,3,low,M,6,5959
D,Road,3,5,192,2,medium,F,5,2339
A,Ship,3,3,203,2,low,M,1,5244
B,Ship,4,1,194,3,medium,F,9,5804
B,Ship,6,2,254,5,low,M,7,1638
D,Ship,3,1,123,5,medium,F,10,4231
C,Ship,6,2,263,4,low,F,1,1258
C,Ship,2,3,219,4,low,F,9,4086
F,Road,5,2,191,4,low,F,3,5578
B,Flight,6,4,289,4,high,F,4,1822
D,Ship,5,2,123,5,low,F,4,5284
A,Ship,4,2,242,3,medium,M,10,4721
C,Ship,5,2,272,3,high,M,5,4972
F,Ship,3,3,218,3,low,M,19,3770
B,Ship,6,5,260,4,medium,F,10,1799
F,Ship,4,4,261,5,medium,F,2,1829
C,Ship,6,5,279,4,medium,M,7,1300
C,Ship,5,1,179,2,low,M,8,5198
F,Ship,5,2,206,2,medium,F,2,5627
D,Ship,4,3,185,3,medium,M,3,3131
B,Ship,4,4,223,5,medium,M,1,1124
A,Road,4,5,204,3,medium,F,4,5476
C,Ship,5,2,237,5,medium,M,6,1084
C,Ship,4,4,203,2,low,F,4,4793
A,Ship,3,5,259,3,low,F,10,5978
A,Ship,4,1,256,3,low,M,6,5818
C,Ship,3,4,253,3,low,M,6,3788
D,Ship,3,3,166,2,medium,M,4,4254
F,Ship,6,5,291,4,low,M,3,1102
F,Flight,4,1,102,3,medium,M,3,4179
F,Road,4,5,175,3,medium,F,5,4194
C,Ship,3,4,253,3,high,F,8,5857
F,Ship,4,1,183,3,medium,F,4,4789
D,Ship,3,5,146,5,low,F,3,5489
B,Road,3,1,207,3,low,F,5,4643
A,Ship,4,3,296,2,medium,F,9,1523
F,Flight,4,4,258,3,medium,M,8,5324
D,Road,3,5,163,3,low,M,5,4570
C,Ship,2,2,180,3,low,M,2,5033
F,Ship,4,4,231,3,low,M,9,4305
B,Ship,5,5,166,2,high,F,2,4562
F,Road,6,1,163,4,high,M,3,4031
D,Ship,3,3,197,2,medium,M,10,5255
F,Ship,7,1,255,4,medium,F,8,1088
F,Ship,4,4,134,3,low,F,14,1716
C,Ship,2,5,156,2,low,M,2,1750
C,Ship,3,1,225,3,medium,M,2,4284
A,Ship,3,3,137,4,low,M,6,4803
D,Ship,5,2,258,5,low,F,2,1232
C,Flight,5,2,198,3,low,F,7,5768
D,Flight,2,1,112,5,low,F,1,4543
B,Flight,4,2,267,5,low,F,2,1876
F,Ship,4,1,140,2,low,M,8,4926
B,Ship,6,2,266,4,medium,M,3,1090
D,Flight,4,2,266,3,high,M,1,5532
A,Ship,4,3,246,2,low,M,6,4908
A,Ship,3,1,179,2,medium,F,10,4828
A,Flight,3,3,176,3,medium,M,14,1705
D,Ship,5,3,150,2,high,F,9,4446
F,Flight,5,2,226,3,medium,F,1,5451
D,Ship,6,5,264,4,medium,M,8,1755
F,Ship,3,5,183,2,low,F,10,2621
F,Road,4,2,229,2,medium,F,7,4855
C,Ship,4,2,174,3,low,M,4,5625
F,Flight,3,5,202,2,low,F,4,3372
A,Road,5,2,249,5,medium,M,6,1298
C,Ship,4,4,216,2,medium,F,6,3255
C,Ship,4,2,192,3,low,F,3,4130
D,Road,6,5,278,4,medium,F,6,1140
F,Ship,4,3,256,2,medium,F,3,4679
C,Flight,4,3,262,4,high,F,2,4783
B,Ship,5,5,191,4,medium,F,10,4933
B,Ship,3,2,255,3,medium,F,8,4471
B,Ship,3,1,202,3,medium,M,5,1556
A,Ship,3,5,135,2,low,F,4,5275
B,Ship,4,2,240,5,medium,M,7,1711
F,Ship,6,2,244,4,low,F,4,1245
F,Flight,5,5,258,5,medium,M,7,1819
B,Ship,5,5,133,2,low,F,18,1134
C,Road,5,4,248,5,low,F,3,1471
B,Ship,6,5,292,4,low,M,4,1762
F,Ship,7,3,305,4,low,F,3,1872
A,Flight,3,4,224,2,low,M,8,4162
F,Ship,4,5,171,3,medium,F,2,1114
B,Ship,4,5,219,3,medium,M,8,4605
F,Ship,4,5,185,3,medium,M,17,2824
A,Ship,4,3,148,3,high,F,7,5034
B,Flight,5,5,142,4,medium,M,8,5372
F,Ship,4,5,261,2,medium,M,6,5920
C,Road,6,2,279,4,low,F,5,1836
A,Ship,5,2,168,2,low,M,6,5464
C,Flight,4,1,215,3,low,F,2,5563
A,Road,4,5,105,5,high,M,4,5824
F,Ship,4,3,222,3,low,F,8,4861
F,Ship,5,3,141,3,low,M,9,4857
C,Flight,5,1,220,3,medium,M,8,5727
A,Ship,3,1,160,2,medium,M,5,4435
F,Ship,6,5,185,3,high,F,1,5399
F,Ship,4,3,242,2,low,M,3,4811
F,Flight,6,3,254,5,medium,F,7,1615
