ID,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Gender_encoded,Product_importance_encoded,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship
322,4,5,141,3,12,1672,1,1,1,0,1,0,0,0,0,0,1
334,3,4,211,3,8,3710,1,1,1,0,1,0,0,0,0,0,1
338,4,4,201,2,1,3147,1,0,0,0,0,0,0,1,0,0,1
339,3,5,261,3,15,2989,1,1,1,1,0,0,0,0,0,0,1
345,5,3,197,4,2,2222,1,0,0,1,0,0,0,0,0,0,1
346,5,1,264,3,6,2882,1,1,0,0,1,0,0,0,0,0,1
351,4,5,188,3,13,2409,1,0,0,1,0,0,0,0,0,0,1
353,2,2,267,3,15,2481,1,1,1,0,0,1,0,0,0,0,1
360,4,3,131,5,6,1659,1,1,0,0,0,0,0,1,0,0,1
362,3,2,159,3,4,1681,1,0,1,0,0,0,0,1,0,0,1
367,3,4,122,3,15,1354,1,0,2,0,0,0,1,0,0,0,1
368,3,3,135,3,8,1074,1,1,0,0,0,0,0,1,0,0,1
369,3,5,103,3,3,1403,1,1,0,1,0,0,0,0,0,0,1
370,3,5,257,3,19,2173,1,0,1,0,1,0,0,0,0,0,1
371,4,3,169,2,2,1399,1,1,0,0,0,1,0,0,0,0,1
372,4,5,159,3,18,1808,1,1,1,0,0,0,0,1,0,0,1
374,5,1,136,3,19,1420,1,1,1,0,0,0,0,1,0,0,1
375,5,1,227,3,19,3007,1,0,0,1,0,0,0,0,0,0,1
380,3,2,201,3,5,2040,1,1,1,0,0,0,0,1,0,0,1
388,5,2,173,3,7,1855,1,0,0,0,1,0,0,0,0,1,0
393,4,4,178,4,13,1614,1,0,1,1,0,0,0,0,0,1,0
397,3,4,205,3,10,2728,1,0,0,0,0,0,1,0,0,1,0
402,3,2,217,2,19,2992,1,1,2,0,0,0,0,1,0,1,0
410,2,5,166,3,3,1832,1,1,1,0,0,0,0,1,1,0,0
411,3,2,264,3,5,3861,1,1,1,1,0,0,0,0,1,0,0
412,3,4,200,2,14,3528,1,1,1,0,1,0,0,0,1,0,0
413,4,3,142,4,12,1396,1,1,1,0,0,1,0,0,1,0,0
415,2,1,218,2,15,2745,1,1,0,0,0,0,1,0,1,0,0
423,3,2,141,3,7,1933,1,1,0,1,0,0,0,0,1,0,0
429,2,2,140,3,19,1806,1,0,0,1,0,0,0,0,0,0,1
438,5,2,186,3,15,2153,1,0,1,0,0,0,0,1,0,0,1
445,3,3,135,3,19,1366,1,0,0,0,0,0,1,0,0,0,1
446,4,4,189,2,18,2955,1,0,1,0,0,0,0,1,0,0,1
448,3,4,194,3,3,2169,1,1,1,0,1,0,0,0,0,0,1
449,3,1,183,3,19,3018,1,1,0,0,0,1,0,0,0,0,1
457,3,3,254,2,17,3153,1,1,2,0,0,0,1,0,0,0,1
461,4,1,202,3,18,3940,1,0,1,0,0,1,0,0,0,0,1
466,3,2,294,4,15,1318,1,0,0,0,1,0,0,0,0,0,1
467,3,5,226,2,2,1043,1,0,1,0,0,1,0,0,0,0,1
468,4,4,173,5,2,1175,1,0,1,0,0,0,0,1,0,0,1
469,3,5,194,3,10,2277,1,0,1,0,0,0,1,0,0,0,1
470,3,5,183,3,2,3459,1,0,0,0,0,0,0,1,0,0,1
472,4,3,244,3,8,3318,1,1,1,0,1,0,0,0,0,0,1
473,2,2,189,4,9,3413,1,1,0,0,0,1,0,0,0,0,1
481,5,4,168,3,13,1317,1,0,0,0,0,0,1,0,0,0,1
490,3,3,235,3,5,3065,1,1,0,0,1,0,0,0,0,0,1
491,2,1,176,3,15,1996,1,0,0,0,0,1,0,0,0,0,1
495,5,1,160,5,16,1526,1,0,1,1,0,0,0,0,0,0,1
497,4,2,216,3,12,2273,1,0,0,0,0,1,0,0,0,0,1
498,4,4,199,2,9,3075,1,1,0,0,0,0,0,1,0,0,1
502,3,2,177,3,10,1641,1,1,0,0,1,0,0,0,0,0,1
505,5,3,162,2,14,1045,1,0,0,0,0,0,1,0,0,0,1
508,5,3,230,3,3,2923,1,0,1,0,1,0,0,0,0,0,1
510,5,2,235,3,14,2984,1,1,0,0,0,0,0,1,0,0,1
513,5,4,160,4,6,1603,1,0,0,1,0,0,0,0,0,0,1
514,5,3,250,5,12,2722,1,1,0,0,1,0,0,0,0,0,1
515,4,2,174,3,9,1682,1,1,0,0,0,1,0,0,0,0,1
520,3,1,215,3,2,3873,1,0,1,0,1,0,0,0,0,0,1
527,5,1,206,2,2,3490,1,1,0,0,0,1,0,0,0,1,0
529,5,5,261,3,8,3257,1,0,1,0,0,0,1,0,0,1,0
532,2,4,179,2,19,1900,1,0,0,0,1,0,0,0,0,1,0
537,2,3,154,4,17,1897,1,0,2,1,0,0,0,0,0,1,0
538,4,4,228,3,12,3359,1,0,1,0,1,0,0,0,0,1,0
548,5,4,245,5,6,3592,1,1,0,0,0,0,0,1,1,0,0
550,3,4,176,3,8,1567,1,0,1,0,1,0,0,0,1,0,0
553,3,4,156,2,8,1145,1,1,0,0,0,0,1,0,1,0,0
555,5,4,250,3,11,3373,1,0,0,1,0,0,0,0,1,0,0
556,5,4,189,5,3,3301,1,1,0,0,1,0,0,0,1,0,0
557,3,3,255,2,7,3311,1,1,2,0,0,1,0,0,1,0,0
559,4,2,164,3,15,1489,1,1,1,0,0,0,1,0,1,0,0
563,3,2,137,2,17,1673,1,1,1,0,0,1,0,0,1,0,0
564,3,3,229,3,14,2164,1,1,0,0,0,0,0,1,1,0,0
568,5,2,268,3,19,2526,1,1,0,0,1,0,0,0,0,0,1
570,4,5,265,2,18,2969,1,0,1,0,0,0,0,1,0,0,1
571,2,2,236,3,3,3416,1,1,1,0,0,0,1,0,0,0,1
576,4,2,179,4,1,1063,1,1,0,0,0,0,0,1,0,0,1
579,3,2,173,3,15,1992,1,0,0,1,0,0,0,0,0,0,1
586,3,3,234,3,8,2334,1,0,1,0,1,0,0,0,0,0,1
588,3,5,194,2,4,3496,1,1,1,0,0,0,0,1,0,0,1
593,3,2,260,3,2,2176,1,0,1,0,0,1,0,0,0,0,1
600,4,1,140,3,1,1464,1,0,1,0,0,0,0,1,0,0,1
610,4,4,158,3,11,1224,1,1,1,0,1,0,0,0,0,0,1
614,4,5,247,2,18,2404,1,0,1,0,0,0,0,1,0,0,1
617,5,5,143,2,18,1066,1,0,2,0,0,1,0,0,0,0,1
618,5,3,245,2,8,3231,1,0,1,0,0,0,0,1,0,0,1
620,3,5,224,2,13,3891,1,1,0,0,0,0,0,1,0,0,1
623,3,4,253,3,6,3788,1,1,0,0,0,1,0,0,0,0,1
630,4,5,245,2,19,2616,1,0,0,0,0,0,0,1,0,0,1
635,3,1,141,3,6,1361,1,1,0,0,0,1,0,0,0,0,1
641,4,4,157,2,2,1087,1,0,0,0,0,1,0,0,0,0,1
643,4,1,240,2,14,2437,1,1,0,0,0,0,1,0,0,0,1
648,5,2,105,4,1,1622,1,1,2,0,0,0,0,1,0,0,1
649,4,3,202,3,2,3962,1,1,1,0,0,0,1,0,0,0,1
651,3,4,164,3,13,1158,1,1,1,1,0,0,0,0,0,0,1
653,5,2,209,4,12,2933,1,0,1,0,0,1,0,0,0,0,1
654,3,1,157,2,19,1898,1,1,2,0,0,0,0,1,0,0,1
655,4,5,249,2,4,2725,1,1,0,0,0,0,1,0,0,0,1
658,3,1,242,3,10,3606,1,0,1,0,1,0,0,0,0,0,1
660,5,3,138,2,13,1056,1,1,0,0,0,0,0,1,0,1,0
661,5,1,158,3,9,1483,1,1,0,0,0,0,1,0,0,1,0
662,5,3,146,4,5,1718,1,1,0,0,0,0,0,1,0,1,0
666,3,3,243,2,17,3230,1,1,1,0,0,0,0,1,0,1,0
671,4,3,244,3,1,3982,1,1,1,0,0,1,0,0,0,1,0
673,5,4,263,3,10,2538,1,1,2,0,0,0,1,0,0,1,0
675,4,5,202,3,6,2616,1,0,0,1,0,0,0,0,0,1,0
676,4,4,227,3,1,2761,1,0,1,0,1,0,0,0,0,1,0
677,4,5,189,2,15,2457,1,0,0,0,0,1,0,0,0,1,0
686,4,2,241,2,17,3844,1,1,0,0,0,0,0,1,1,0,0
687,4,2,187,2,6,3625,1,0,0,1,0,0,0,0,1,0,0
689,5,2,170,3,15,1314,1,1,0,0,0,1,0,0,1,0,0
693,4,1,250,2,17,3544,1,1,0,1,0,0,0,0,1,0,0
698,3,5,151,2,16,1422,1,0,0,0,0,0,0,1,1,0,0
708,3,3,241,3,5,2713,1,1,0,0,0,0,0,1,0,0,1
714,3,3,273,2,16,2466,1,0,1,0,0,0,0,1,0,0,1
716,4,1,137,4,15,1391,1,1,2,0,0,0,0,1,0,0,1
721,5,3,170,3,12,1018,1,0,0,0,0,0,1,0,0,0,1
723,5,3,150,2,2,1682,1,1,0,1,0,0,0,0,0,0,1
727,4,2,214,3,18,2574,1,0,0,0,0,0,1,0,0,0,1
730,3,1,151,2,4,1748,1,0,0,0,1,0,0,0,0,0,1
731,4,5,264,3,16,2245,1,1,1,0,0,1,0,0,0,0,1
733,6,3,281,3,11,2135,1,1,1,0,0,0,1,0,0,0,1
738,2,1,111,2,10,1920,1,0,2,0,0,0,0,1,0,0,1
739,3,2,223,3,6,2127,1,0,1,0,0,0,1,0,0,0,1
748,4,4,177,2,6,1112,1,1,0,0,1,0,0,0,0,0,1
750,4,5,185,3,17,2824,1,1,1,0,0,0,0,1,0,0,1
752,3,3,162,3,7,1901,1,1,1,0,0,0,0,1,0,0,1
754,5,1,227,3,14,2589,1,0,0,0,1,0,0,0,0,0,1
756,3,5,258,3,17,3033,1,1,0,0,0,0,0,1,0,0,1
757,4,5,195,5,10,3537,1,0,1,0,0,0,1,0,0,0,1
758,4,1,224,2,8,3638,1,1,0,0,0,0,0,1,0,0,1
761,5,3,235,2,12,3358,1,0,1,0,0,1,0,0,0,0,1
766,4,2,259,4,13,2495,1,0,0,0,1,0,0,0,0,0,1
767,2,1,249,3,11,2534,1,1,0,0,0,1,0,0,0,0,1
769,4,3,141,3,2,1915,1,0,0,0,0,0,1,0,0,0,1
770,4,1,114,3,9,1240,1,0,1,0,0,0,0,1,0,0,1
778,5,1,234,2,12,2372,1,1,0,0,1,0,0,0,0,0,1
781,4,5,252,3,16,2332,1,1,0,0,0,0,1,0,0,0,1
787,4,2,210,3,16,2046,1,1,0,0,0,0,1,0,0,0,1
794,4,3,257,3,5,2489,1,1,1,0,0,0,0,1,0,0,1
795,4,5,255,4,14,3099,1,1,0,1,0,0,0,0,0,0,1
799,4,3,184,3,19,2774,1,0,1,0,0,0,1,0,0,1,0
802,3,4,261,2,1,3398,1,0,1,0,1,0,0,0,0,1,0
804,4,4,224,3,9,2952,1,1,1,0,0,0,0,1,0,1,0
811,5,3,216,3,1,2434,1,0,1,0,0,0,1,0,0,1,0
813,4,5,191,3,19,2392,1,0,0,1,0,0,0,0,0,1,0
814,3,2,140,2,7,1401,1,0,2,0,1,0,0,0,0,1,0
819,3,4,262,2,15,3287,1,1,0,1,0,0,0,0,1,0,0
821,3,1,186,3,11,3800,1,0,1,0,0,1,0,0,1,0,0
825,3,1,142,2,18,1428,1,1,2,1,0,0,0,0,1,0,0
831,4,4,201,3,7,2644,1,0,2,1,0,0,0,0,1,0,0
833,2,3,251,3,2,3351,1,0,0,0,0,1,0,0,1,0,0
835,5,4,271,3,16,2563,1,0,1,0,0,0,1,0,1,0,0
838,5,2,278,2,17,2493,1,0,0,0,1,0,0,0,1,0,0
839,2,4,168,3,15,1886,1,0,0,0,0,1,0,0,1,0,0
841,3,1,232,3,9,2958,1,1,0,0,0,0,1,0,0,0,1
842,3,2,140,2,16,1685,1,0,0,0,0,0,0,1,0,0,1
847,4,4,140,3,11,1911,1,1,1,0,0,0,1,0,0,0,1
851,4,2,170,2,1,1446,1,0,0,0,0,1,0,0,0,0,1
854,5,4,279,2,1,3933,1,0,1,0,0,0,0,1,0,0,1
855,4,3,121,2,11,1906,1,1,1,1,0,0,0,0,0,0,1
859,4,3,119,5,5,1841,1,1,1,0,0,0,1,0,0,0,1
865,3,4,187,2,8,3725,1,1,2,0,0,0,1,0,0,0,1
868,4,3,261,3,10,2802,1,0,0,0,1,0,0,0,0,0,1
869,3,1,218,3,4,2304,1,1,0,0,0,1,0,0,0,0,1
872,4,2,208,3,17,2777,1,1,2,0,0,0,0,1,0,0,1
873,3,1,178,5,15,1242,1,0,0,1,0,0,0,0,0,0,1
879,6,1,205,5,14,3213,1,1,0,1,0,0,0,0,0,0,1
880,5,2,244,3,8,3571,1,1,0,0,1,0,0,0,0,0,1
883,3,4,169,2,17,1242,1,1,0,0,0,0,1,0,0,0,1
884,3,2,251,2,5,3443,1,0,0,0,0,0,0,1,0,0,1
885,2,2,161,2,1,1642,1,0,1,1,0,0,0,0,0,0,1
887,4,2,271,3,19,2693,1,0,0,0,0,1,0,0,0,0,1
889,3,5,212,3,6,2069,1,1,2,0,0,0,1,0,0,0,1
892,3,4,255,4,12,2266,1,0,0,0,1,0,0,0,0,0,1
893,4,1,166,3,3,1453,1,0,2,0,0,1,0,0,0,0,1
897,4,2,162,2,16,1014,1,1,0,1,0,0,0,0,0,0,1
899,3,5,242,3,19,3753,1,1,1,0,0,1,0,0,0,0,1
904,4,1,143,2,3,1996,1,1,1,0,1,0,0,0,0,0,1
906,4,4,147,3,13,1145,1,1,0,0,0,0,0,1,0,0,1
913,4,4,161,3,6,1386,1,0,0,0,0,0,1,0,0,0,1
916,4,1,258,3,3,3928,1,1,1,0,1,0,0,0,0,0,1
919,3,4,188,3,11,3072,1,1,2,0,0,0,1,0,0,0,1
930,3,3,153,5,12,1972,1,0,0,0,0,0,0,1,0,0,1
931,4,3,162,2,2,1714,1,1,0,0,0,0,1,0,0,0,1
933,3,5,242,3,3,2268,1,0,1,1,0,0,0,0,0,1,0
936,5,2,208,3,8,3442,1,1,1,0,0,0,0,1,0,1,0
939,5,3,236,3,7,3589,1,1,1,1,0,0,0,0,0,1,0
940,4,1,147,3,15,1956,1,0,0,0,1,0,0,0,0,1,0
941,2,1,113,5,9,1957,1,0,0,0,0,1,0,0,0,1,0
948,4,1,264,2,8,2436,1,1,0,0,0,0,0,1,0,1,0
949,3,3,255,2,3,2894,1,1,1,0,0,0,1,0,0,1,0
953,3,5,188,3,9,3206,1,0,2,0,0,1,0,0,0,1,0
970,2,1,121,2,18,1839,1,0,1,0,1,0,0,0,1,0,0
972,3,5,173,2,14,1638,1,1,0,0,0,0,0,1,1,0,0
975,5,3,96,4,12,1655,1,0,1,1,0,0,0,0,1,0,0
982,3,5,243,3,4,3189,1,1,1,0,1,0,0,0,0,0,1
983,3,2,175,4,17,1276,1,0,1,0,0,1,0,0,0,0,1
984,5,4,133,3,9,1051,1,1,0,0,0,0,0,1,0,0,1
993,4,3,136,3,9,1548,1,1,1,1,0,0,0,0,0,0,1
994,4,3,210,3,6,2568,1,0,1,0,1,0,0,0,0,0,1
997,4,3,151,4,13,1583,1,1,1,0,0,0,1,0,0,0,1
1000,3,3,271,2,15,3542,1,1,1,0,1,0,0,0,0,0,1
1001,4,3,191,4,15,2544,1,0,0,0,0,1,0,0,0,0,1
1003,3,3,241,5,8,2182,1,1,0,0,0,0,1,0,0,0,1
1004,3,3,254,3,3,2837,1,1,1,0,0,0,0,1,0,0,1
1008,4,5,170,3,9,1138,1,0,0,0,0,0,0,1,0,0,1
1009,4,1,265,2,18,3327,1,1,1,0,0,0,1,0,0,0,1
1010,4,4,142,4,8,1777,1,0,0,0,0,0,0,1,0,0,1
1012,4,5,262,4,16,2871,1,1,0,0,1,0,0,0,0,0,1
1019,3,2,167,2,2,1010,1,1,0,0,0,1,0,0,0,0,1
1022,3,1,226,2,18,2319,1,1,0,0,0,0,0,1,0,0,1
1027,3,1,138,5,8,1349,1,0,1,0,0,0,1,0,0,0,1
1028,3,1,146,3,16,1714,1,1,1,0,0,0,0,1,0,0,1
1029,3,3,193,3,11,3188,1,1,1,1,0,0,0,0,0,0,1
1030,3,1,229,2,12,3111,1,0,1,0,1,0,0,0,0,0,1
1031,4,1,239,2,16,2504,1,1,2,0,0,1,0,0,0,0,1
1034,2,2,198,2,11,3686,1,1,0,0,0,0,0,1,0,0,1
1036,3,5,253,2,17,2205,1,1,1,0,1,0,0,0,0,0,1
1056,3,3,152,3,5,1385,1,1,1,0,0,0,0,1,0,0,1
1065,3,2,147,4,13,1657,1,1,0,1,0,0,0,0,0,0,1
1073,4,4,198,2,5,2270,1,0,0,0,0,1,0,0,0,1,0
1075,4,5,268,3,3,2758,1,0,1,0,0,0,1,0,0,1,0
1077,3,4,195,3,10,2021,1,1,1,1,0,0,0,0,0,1,0
1083,6,3,236,3,6,2639,1,1,1,1,0,0,0,0,0,1,0
1085,3,4,262,3,7,2424,1,1,0,0,0,1,0,0,0,1,0
1093,4,4,200,3,19,2976,1,1,0,0,0,0,1,0,1,0,0
1095,3,1,185,3,3,3051,1,1,1,1,0,0,0,0,1,0,0
1097,5,2,265,3,12,2892,1,0,0,0,0,1,0,0,1,0,0
1100,4,3,163,2,12,1092,1,0,0,0,0,0,0,1,1,0,0
1114,3,2,203,3,3,2791,1,1,2,0,1,0,0,0,0,0,1
1118,4,4,205,3,11,2255,1,0,0,0,0,0,0,1,0,0,1
1119,3,2,171,3,11,1282,1,1,1,1,0,0,0,0,0,0,1
1122,2,1,264,3,10,3409,1,1,1,0,0,0,0,1,0,0,1
1135,4,1,177,4,13,1569,1,0,0,0,0,0,1,0,0,0,1
1141,4,1,260,2,2,2980,1,1,0,0,0,0,1,0,0,0,1
1156,4,3,173,2,10,1179,1,0,0,0,1,0,0,0,0,0,1
1172,3,1,251,3,18,2240,1,0,1,0,0,0,0,1,0,0,1
1173,5,2,158,3,16,1499,1,1,1,1,0,0,0,0,0,0,1
1179,4,3,118,5,15,1601,1,0,0,1,0,0,0,0,0,0,1
1181,5,2,191,2,6,2059,1,0,2,0,0,1,0,0,0,0,1
1193,4,4,246,2,11,2282,1,1,0,0,0,1,0,0,0,0,1
1199,4,2,158,4,13,1785,1,0,0,0,0,1,0,0,0,0,1
1208,3,1,100,3,17,1129,1,0,0,0,0,0,0,1,0,1,0
1212,4,1,140,3,9,1431,1,1,1,0,0,0,0,1,0,1,0
1214,4,3,256,3,15,3155,1,0,0,0,0,0,0,1,0,1,0
1215,3,3,270,4,18,2397,1,0,0,1,0,0,0,0,0,1,0
1219,4,4,184,4,8,2306,1,1,1,0,0,0,1,0,0,1,0
1224,3,1,258,2,11,2791,1,1,1,0,0,0,0,1,0,1,0
1225,3,3,218,2,9,2069,1,1,1,0,0,0,1,0,0,1,0
1226,3,1,135,2,7,1316,1,1,1,0,0,0,0,1,0,1,0
1229,6,1,136,3,12,1592,1,1,2,0,0,1,0,0,1,0,0
1233,4,2,166,3,5,1610,1,1,0,1,0,0,0,0,1,0,0
1234,3,5,176,3,1,1982,1,0,2,0,1,0,0,0,1,0,0
1235,2,3,280,4,17,3555,1,1,0,0,0,1,0,0,1,0,0
1236,3,2,169,2,19,1922,1,0,1,0,0,0,0,1,1,0,0
1238,4,1,140,2,5,1274,1,0,0,0,0,0,0,1,1,0,0
1245,4,2,136,2,17,1285,1,0,1,1,0,0,0,0,1,0,0
1247,6,2,271,5,14,2514,1,1,0,0,0,1,0,0,1,0,0
1250,4,1,247,3,9,2414,1,0,0,0,0,0,0,1,1,0,0
1252,3,1,254,3,6,3496,1,1,1,0,1,0,0,0,0,0,1
1255,3,1,203,4,12,2779,1,1,1,0,0,0,1,0,0,0,1
1256,4,5,196,3,16,3722,1,1,1,0,0,0,0,1,0,0,1
1259,4,4,266,2,15,3425,1,0,0,0,0,1,0,0,0,0,1
1261,5,3,197,2,12,3400,1,0,0,0,0,0,1,0,0,0,1
1262,4,1,258,3,4,3686,1,0,1,0,0,0,0,1,0,0,1
1264,5,4,184,3,9,3332,1,1,0,0,1,0,0,0,0,0,1
1267,4,2,221,2,13,3097,1,0,0,0,0,0,1,0,0,0,1
1278,3,1,275,2,1,2597,1,0,2,0,0,0,0,1,0,0,1
1282,3,3,110,3,7,1235,1,1,0,0,1,0,0,0,0,0,1
1285,5,4,214,2,1,3709,1,0,1,0,0,0,1,0,0,0,1
1287,2,2,192,2,8,3127,1,0,0,1,0,0,0,0,0,0,1
1288,4,1,191,3,4,2724,1,1,0,0,1,0,0,0,0,0,1
1290,3,3,141,3,10,1751,1,1,1,0,0,0,0,1,0,0,1
1291,4,3,242,3,1,2808,1,1,0,0,0,0,1,0,0,0,1
1292,3,4,212,2,13,2733,1,1,2,0,0,0,0,1,0,0,1
1295,4,3,190,3,2,2125,1,0,1,0,0,1,0,0,0,0,1
1298,4,4,158,2,15,1030,1,1,1,0,0,0,0,1,0,0,1
1304,4,3,138,3,15,1080,1,1,1,0,0,0,0,1,0,0,1
1306,6,1,193,4,8,2952,1,1,1,0,1,0,0,0,0,0,1
1307,4,3,252,2,1,2336,1,1,1,0,0,1,0,0,0,0,1
1314,2,5,186,2,17,3896,1,1,0,0,0,0,0,1,0,0,1
1321,5,1,134,3,12,1775,1,0,2,0,0,0,1,0,0,0,1
